Iteration,Discriminator Loss,Generator Loss
1760,1.277208,0.682365
1770,1.337398,0.566010
1780,1.350659,0.836634
1790,1.387455,0.895315
1800,1.354923,0.930228
1810,1.410514,0.894479
1820,1.367472,0.877154
1830,1.254562,0.898810
1840,1.295081,0.882643
1850,1.301687,0.890203
1860,1.246650,0.907373
1870,1.260292,0.932366
1880,1.306229,1.071492
1890,1.228796,1.005949
1900,1.163340,1.110279
1910,1.178613,1.077355
1920,1.152912,1.114750
1930,1.113518,0.954505
1940,1.141542,0.679153
1950,1.186670,0.656983
1960,1.206641,0.630261
1970,1.254906,0.643671
1980,1.265100,0.668295
1990,1.317659,0.569465
2000,1.334834,0.585521
2010,1.263043,0.594993
2020,1.234829,0.710403
2030,1.286972,0.741784
2040,1.269279,0.675723
2050,1.279835,0.690518
2060,1.312728,0.635643
2070,1.252910,0.740515
2080,1.308095,0.619443
2090,1.286530,0.620516
2100,1.213461,0.742770
2110,1.309253,0.655819
2120,1.301846,0.659249
2130,1.301450,0.615951
2140,1.323444,0.647879
2150,1.262432,0.650382
2160,1.241394,0.632859
2170,1.245770,0.633997
2180,1.254228,0.686607
2190,1.259153,0.716790
2200,1.223803,0.696526
2210,1.295924,0.664542
2220,1.276306,0.580156
2230,1.273629,0.689849
2240,1.283326,0.524501
2250,1.196578,0.707977
2260,1.191895,0.690321
2270,1.315963,0.619206
2280,1.183722,0.713017
2290,1.197572,0.750626
2300,1.248010,0.721947
2310,1.315727,0.610940
2320,1.259755,0.782590
2330,1.131112,0.798212
2340,1.249446,0.730166
2350,1.331715,0.581306
2360,1.027409,1.009724
2370,1.283184,0.647256
2380,1.113832,1.079878
2390,1.138179,0.854836
2400,1.104709,0.898849
2410,1.194444,0.599251
2420,1.142822,0.819323
2430,1.134200,0.885175
2440,1.200157,0.670033
2450,1.064892,0.706403
2460,1.015026,0.900534
2470,0.664231,1.653039
2480,0.897141,1.423234
2490,1.135357,0.914126
2500,1.205348,1.657003
2510,1.069525,1.210407
2520,1.154891,1.410818
2530,1.104070,1.359432
2540,1.194145,1.405058
2550,1.242554,0.820709
2560,1.274056,0.975706
2570,1.239376,0.812342
2580,1.258295,0.706920
2590,1.178619,0.708511
2600,1.174277,0.658888
2610,1.241065,0.718038
2620,1.208076,0.715844
2630,1.166110,0.855147
2640,1.236204,0.672761
2650,1.316449,1.155006
2660,1.176103,1.066796
2670,1.147772,1.099458
2680,1.139642,0.903582
2690,1.195709,1.184816
2700,1.141509,1.108696
2710,1.077869,1.107438
2720,1.013648,1.082382
2730,1.100379,1.208519
2740,1.069772,0.781741
2750,1.104781,1.302531
2760,1.148936,1.469134
2770,1.051705,1.385147
2780,0.962164,1.048022
2790,1.017329,1.236747
2800,1.089817,0.837077
2810,1.084346,0.826881
2820,1.025700,0.901926
2830,1.083940,0.764838
2840,1.027374,0.759012
2850,0.948668,0.628806
2860,1.023303,0.689139
2870,1.063773,0.709579
2880,1.028034,0.770432
2890,1.087710,0.950938
2900,1.035369,0.807280
2910,1.112719,0.785628
2920,1.087191,0.702097
2930,1.044396,0.727001
2940,1.170478,0.751332
2950,1.157571,0.760608
2960,1.073479,0.778321
2970,1.083364,0.740336
2980,1.087228,0.772712
2990,1.169015,0.710130
3000,1.076920,1.136654
3010,1.177264,0.666691
3020,1.097870,0.663026
3030,1.080623,0.678442
3040,1.057050,0.853462
3050,1.098494,0.617688
3060,1.101168,0.848753
3070,1.038383,0.729653
3080,1.031865,0.875073
3090,1.065887,0.708683
3100,1.119609,0.646340
3110,1.116976,0.730873
3120,1.034891,0.973749
3130,1.022855,0.842626
3140,1.020679,0.460477
3150,1.083706,0.862848
3160,1.011256,0.791377
3170,0.960749,0.785552
3180,0.957856,0.929654
3190,1.141096,0.520920
3200,1.095981,0.636645
3210,1.024855,0.565505
3220,1.009273,0.519547
3230,1.079250,0.679920
3240,1.067960,0.687985
3250,1.064501,0.476387
3260,1.118772,0.530845
3270,1.096959,0.672192
3280,0.988535,0.607579
3290,1.052844,0.480804
3300,1.027606,0.550625
3310,1.016440,0.490513
3320,1.107585,0.520647
3330,1.052450,0.430761
3340,1.124308,0.666147
3350,0.928367,0.723249
3360,0.913977,0.793624
3370,0.992592,0.768728
3380,1.040863,0.902007
3390,0.978791,0.531819
3400,0.921207,0.565776
3410,0.955409,0.699212
3420,0.995178,0.662668
3430,0.961809,0.617580
3440,1.125138,0.811219
3450,1.022181,0.635974
3460,0.972817,0.685899
3470,1.000931,0.645396
3480,1.168523,0.635444
3490,1.062345,0.704292
3500,0.879058,0.609721
3510,0.957035,0.701587
3520,1.144808,0.734281
3530,1.019686,0.836093
3540,1.050545,0.510719
3550,1.081696,0.632357
3560,0.901372,0.703396
3570,1.130965,0.673971
3580,1.048777,0.865180
3590,1.062921,0.502858
3600,1.061250,0.719541
3610,1.050517,0.904670
3620,1.062031,0.713109
3630,0.994066,0.645316
3640,0.986963,0.737202
3650,0.994669,0.817372
3660,1.082593,0.653572
3670,1.125880,0.839507
3680,1.097565,0.741345
3690,1.121107,0.926456
3700,1.074359,0.964947
3710,1.152722,0.758925
3720,1.238819,0.426311
3730,1.084071,0.987386
3740,1.120314,1.201557
3750,1.111266,1.040086
3760,1.106894,0.550850
3770,1.116321,0.876194
3780,1.115840,0.734936
3790,1.136491,0.732737
3800,1.080971,0.614035
3810,1.076091,0.785180
3820,1.080144,0.713392
3830,1.124109,0.647066
3840,1.089366,0.488643
3850,1.059587,0.693559
3860,1.117903,0.872550
3870,1.092434,0.873088
3880,1.110167,0.641309
3890,1.082482,0.740680
3900,1.157685,0.680000
3910,1.163802,0.826369
3920,1.054540,0.581351
3930,1.138661,0.560711
3940,1.163400,0.697941
3950,1.114232,0.813481
3960,1.097759,0.961935
3970,1.172785,0.694194
3980,1.096328,0.775122
3990,1.080310,0.718511
4000,1.126257,0.567978
4010,1.094767,0.849651
4020,1.091518,0.737162
4030,1.111587,0.805010
4040,1.129645,0.777655
4050,1.041843,0.514326
4060,1.122046,0.563163
4070,1.182338,0.881491
4080,1.192826,0.594668
4090,1.249784,0.596244
4100,1.111967,0.737915
4110,1.121980,0.771775
4120,1.076385,0.596170
4130,1.102950,1.010828
4140,1.134054,0.653877
4150,1.225857,1.429939
4160,1.137546,0.646634
4170,1.124261,0.788086
4180,1.063614,0.800811
4190,1.021994,0.812312
4200,1.142655,0.684826
4210,1.138276,0.636438
4220,1.151489,0.809194
4230,1.150198,0.758528
4240,1.172196,0.843186
4250,1.103898,0.553331
4260,1.188415,0.589601
4270,1.142790,0.484044
4280,1.044046,0.859450
4290,1.174914,0.625777
4300,1.026335,0.728260
4310,1.249445,0.621791
4320,1.062153,0.676535
4330,1.226775,0.587993
4340,1.232384,0.701959
4350,1.161072,0.665085
4360,1.172985,0.725445
4370,1.188951,0.603498
4380,1.094941,1.013946
4390,1.090499,0.702189
4400,1.118078,0.930218
4410,1.208740,0.521970
4420,1.140994,0.776334
4430,1.184247,0.697284
4440,1.149426,0.731749
4450,1.159658,0.580724
4460,1.126211,0.703229
4470,1.176283,0.577857
4480,1.187345,0.885350
4490,1.186630,0.659168
4500,1.185987,0.855868
4510,1.151060,0.756655
4520,1.142582,0.652494
4530,1.148365,0.928268
4540,1.102970,0.925956
4550,1.155713,0.731860
4560,1.174518,0.853571
4570,1.133237,0.849474
4580,1.280074,0.597308
4590,1.151778,0.707962
4600,1.186324,0.683756
4610,1.196288,0.810826
4620,1.178423,0.704784
4630,1.188494,0.686306
4640,1.177884,0.685340
4650,1.160872,0.763263
4660,1.244307,0.546572
4670,1.181295,0.584610
4680,1.162132,0.803465
4690,1.174335,0.513667
4700,1.187937,0.564601
4710,1.103358,0.571240
4720,1.203215,0.565173
4730,1.143254,0.834121
4740,1.093636,0.730795
4750,1.126785,0.730830
4760,1.231626,0.486328
4770,1.173219,0.582728
4780,1.227359,0.683629
4790,1.228335,0.669023
4800,1.155895,0.717952
4810,1.121104,0.864831
4820,1.245796,0.637415
4830,1.266355,0.655854
4840,1.155797,0.635924
4850,1.169949,0.640042
4860,1.200215,0.748467
4870,0.978863,0.529390
4880,1.261327,0.767990
4890,1.194403,0.829631
4900,1.184710,0.613102
4910,1.252137,0.595490
4920,1.155524,0.729084
4930,1.200669,0.536852
4940,1.201832,0.652533
4950,1.124741,0.920588
4960,1.194910,0.632897
4970,1.228814,0.620019
4980,1.124358,0.595363
4990,1.262114,0.609735
5000,1.175826,0.639500
5010,1.237385,0.664590
5020,1.215332,0.607959
5030,1.170867,0.582216
5040,1.181138,0.624514
5050,1.323440,1.306064
5060,1.193428,0.778095
5070,1.245223,0.560227
5080,1.151422,0.574834
5090,1.128039,0.719875
5100,1.199764,0.685660
5110,1.325898,0.594254
5120,1.306569,0.576759
5130,1.105035,0.559433
5140,1.213952,0.551786
5150,1.152112,0.491548
5160,1.087599,0.503720
5170,1.213712,0.790667
5180,1.177183,0.705158
5190,1.295365,1.455033
5200,1.074485,0.535466
5210,1.131133,0.660643
5220,1.216923,0.591337
5230,1.268507,0.552789
5240,1.187936,0.691083
5250,1.173255,0.661787
5260,1.262677,0.519312
5270,1.206890,1.002830
5280,1.214391,0.968881
5290,1.264819,0.892257
5300,1.309150,0.654544
5310,1.259084,0.741178
5320,1.226392,0.817762
5330,1.246300,0.587565
5340,1.173065,0.616635
5350,1.200925,0.702166
5360,1.216502,0.693495
5370,1.116915,0.821325
5380,1.040455,0.686278
5390,1.402488,0.603941
5400,1.283102,0.700172
5410,1.184625,0.655246
5420,1.235068,0.482641
5430,1.244934,0.858328
5440,1.239612,0.885593
5450,1.216086,0.674838
5460,1.200036,0.484416
5470,1.117488,0.733401
5480,1.115149,0.556339
5490,1.244787,0.800224
5500,1.173619,0.785608
5510,1.292243,0.595095
5520,1.190257,0.615112
5530,1.212576,0.725028
5540,1.269796,0.651762
5550,1.292158,0.637096
5560,1.339105,1.024515
5570,1.222690,0.679587
5580,1.326916,0.480588
5590,1.221308,0.658429
5600,1.276257,0.702701
5610,1.342588,1.573006
5620,1.153390,1.056278
5630,1.257962,0.673628
5640,1.236502,0.758351
5650,1.211235,0.857626
5660,1.224773,0.526470
5670,1.227059,0.623740
5680,1.239005,0.572561
5690,1.292257,0.601325
5700,1.283718,0.537581
5710,1.184958,0.674876
5720,1.279114,0.642562
5730,1.294038,0.542859
5740,1.323417,0.540705
5750,1.253488,1.045931
5760,1.245590,0.695200
5770,1.392957,0.518209
5780,1.389544,0.892999
5790,1.331253,0.466026
5800,1.285664,1.283482
5810,1.191719,0.651773
5820,1.191149,0.551639
5830,1.249419,0.470334
5840,1.238997,0.785663
5850,1.276066,0.643031
5860,1.386392,0.587691
5870,1.259992,0.720109
5880,1.202370,0.657635
5890,1.311239,0.674380
5900,1.242200,0.532678
5910,1.262398,0.588775
5920,1.240669,0.510861
5930,1.104912,0.687356
5940,1.185795,0.659430
5950,1.015902,0.701282
5960,1.407550,0.739432
5970,1.220155,0.604595
5980,1.134466,0.563861
5990,1.324175,0.669196
6000,1.156949,0.654339
6010,1.310998,0.585415
6020,1.267774,0.565632
6030,1.265419,0.656627
6040,1.239637,0.647488
6050,1.159299,0.615438
6060,1.502373,0.454053
6070,1.199264,0.725363
6080,1.298912,1.008596
6090,1.285784,0.538753
6100,1.356848,0.479054
6110,1.427878,0.721028
6120,1.236064,0.592578
6130,1.235247,0.633785
6140,1.329196,0.694007
6150,1.302754,0.625876
6160,1.290901,0.758088
6170,1.339744,0.665024
6180,1.299985,0.692938
6190,1.306772,0.467285
6200,1.218378,0.709973
6210,1.220466,0.644025
6220,1.156309,0.762965
6230,1.218434,0.577792
6240,1.310631,0.498762
6250,1.263804,1.167098
6260,1.332576,0.653838
6270,1.296229,0.621096
6280,1.230081,0.598074
6290,1.263432,0.656760
6300,1.192080,0.594105
6310,1.175154,0.579976
6320,1.221791,0.584697
6330,1.244721,0.814256
6340,1.290274,0.976774
6350,1.325522,0.536555
6360,1.323920,0.652710
6370,1.311728,0.434446
6380,1.366281,0.677217
6390,1.206920,0.626107
6400,1.308650,0.523151
6410,1.398254,0.695814
6420,1.390331,0.642331
6430,1.299123,0.786648
6440,1.318251,0.515065
6450,1.365116,0.541286
6460,1.309530,0.551727
6470,1.310402,0.578847
6480,1.224681,0.900492
6490,1.256571,0.630729
6500,1.301649,0.858468
6510,1.314769,0.672541
6520,1.373998,0.781993
6530,1.265011,0.885017
6540,1.198676,0.656731
6550,1.280513,0.708364
6560,1.311261,0.741266
6570,1.233935,0.592584
6580,1.273771,0.894235
6590,1.281223,0.710841
6600,1.149154,0.573326
6610,1.205542,0.775378
6620,1.329406,0.664118
6630,1.284224,1.024925
6640,1.346905,0.605441
6650,1.356421,0.682114
6660,1.284189,0.642344
6670,1.248484,0.549935
6680,1.338437,0.553590
6690,1.334395,0.629108
6700,1.257528,0.829942
6710,1.209491,0.714094
6720,1.336265,0.718835
6730,1.292908,0.501052
6740,1.288650,0.776586
6750,1.264953,0.748201
6760,1.270127,0.673541
6770,1.274500,0.602682
6780,1.336045,0.710808
6790,1.102240,0.788440
6800,1.305376,0.567041
6810,1.202399,0.567268
6820,1.202862,0.538389
6830,1.146135,0.725440
6840,1.179180,0.624680
6850,1.190958,0.657563
6860,1.368494,0.555032
6870,1.236738,0.835108
6880,1.168458,0.540030
6890,1.377519,0.589185
6900,1.225444,0.579718
6910,1.223457,0.987227
6920,1.351365,0.468985
6930,1.354055,0.652135
6940,1.172094,0.762328
6950,1.371094,0.918494
6960,1.274312,0.488474
6970,1.207295,0.595163
6980,1.341269,0.716612
6990,1.333722,0.678622
7000,1.321170,0.648907
7010,1.285204,0.504439
7020,1.210278,0.587661
7030,1.263907,0.676267
7040,1.246706,0.497710
7050,1.291733,0.814972
7060,1.243749,0.510921
7070,1.331722,0.653660
7080,1.352279,0.527899
7090,1.231345,0.511931
7100,1.284614,0.571780
7110,1.359438,0.550195
7120,1.311667,0.511907
7130,1.373308,0.583761
7140,1.218981,0.457285
7150,1.264058,0.631782
7160,1.350349,0.779464
7170,1.166155,0.457375
7180,1.314636,0.971821
7190,1.162360,0.702476
7200,1.340253,0.583331
7210,1.280855,0.728155
7220,1.358859,0.669839
7230,1.327304,0.674469
7240,1.283060,0.674538
7250,1.278465,0.807177
7260,1.311385,0.546603
7270,1.305771,0.597937
7280,1.268966,0.731866
7290,1.283479,0.638446
7300,1.353064,0.701535
7310,1.317940,0.658831
7320,1.369714,0.680576
7330,1.303316,0.721469
7340,1.265127,0.558682
7350,1.167376,0.494319
7360,1.373715,0.469365
7370,1.308966,0.688209
7380,1.184925,0.566165
7390,1.257210,0.540892
7400,1.068842,0.416075
7410,1.292569,0.680707
7420,1.278434,0.461703
7430,1.300038,0.743798
7440,1.365598,0.570530
7450,1.358699,0.564304
7460,1.301473,1.047452
7470,1.126478,0.460880
7480,1.249643,0.511443
7490,1.330950,0.429731
7500,1.239651,0.578666
7510,1.276713,0.712651
7520,1.360487,0.634411
7530,1.118710,0.521574
7540,1.226801,0.498017
7550,1.254428,0.516452
7560,1.187052,0.409947
7570,1.390674,1.250353
7580,1.331169,0.643764
7590,1.099639,0.629063
7600,1.306254,0.628452
7610,1.234357,0.479085
7620,1.243266,0.475358
7630,1.319629,0.640980
7640,1.276782,0.703968
7650,1.303729,0.688542
7660,1.119035,0.409913
7670,1.309623,0.442130
7680,1.312178,0.731752
7690,1.343455,0.706526
7700,1.290970,0.598511
7710,1.367848,0.754390
7720,1.315413,0.694897
7730,1.286871,0.628995
7740,1.276972,0.492636
7750,1.190799,0.658078
7760,1.337738,0.544607
7770,1.332940,0.631222
7780,1.224932,0.623878
7790,1.355617,0.867324
7800,1.080261,0.441427
7810,1.228781,0.502378
7820,1.308987,0.808435
7830,1.291595,0.836125
7840,1.352458,0.684089
7850,1.325367,1.033912
7860,1.326467,1.290275
7870,1.291820,0.826822
7880,1.324158,0.851408
7890,1.271013,0.708194
7900,1.288171,0.784140
7910,1.047916,0.459263
7920,1.352316,0.596630
7930,1.357707,0.686621
7940,1.292759,0.580907
7950,1.266603,0.505377
7960,1.349551,0.575605
7970,1.375300,0.683708
7980,1.279318,0.665677
7990,1.304351,0.520163
8000,1.125137,0.635503
8010,1.327236,0.674700
8020,1.267901,0.554226
8030,1.221369,0.647235
8040,1.298772,0.781781
8050,1.279337,0.768625
8060,1.279652,0.751973
8070,1.340776,0.732115
8080,1.252105,0.810986
8090,1.325365,0.725284
8100,1.366653,0.594637
8110,1.442031,0.489256
8120,1.257980,0.623380
8130,1.228600,0.573144
8140,1.341471,0.818634
8150,1.329959,0.724177
8160,1.227116,0.655964
8170,1.347950,0.577561
8180,1.356874,0.686232
8190,1.223587,0.594316
8200,1.223384,0.522121
8210,1.344873,0.580634
8220,1.152209,0.509664
8230,1.302400,0.750227
8240,1.177868,0.529834
8250,1.302507,0.628717
8260,1.304039,0.785924
8270,1.347877,0.631891
8280,1.277948,0.722293
8290,1.271072,0.635925
8300,1.227056,0.474418
8310,1.325245,0.734671
8320,1.188873,0.474989
8330,1.300538,0.844901
8340,1.376367,0.708547
8350,1.262312,0.650114
8360,1.246709,0.619625
8370,1.313977,0.820576
8380,1.233292,0.962377
8390,1.326854,0.593509
8400,1.284064,0.859677
8410,1.283808,0.646359
8420,1.289737,0.827181
8430,1.362027,0.638054
8440,1.265298,0.599880
8450,1.253108,0.649837
8460,1.293256,0.707803
8470,1.341967,0.679559
8480,1.310990,0.691551
8490,1.293765,0.766962
8500,1.382557,0.714016
8510,1.285905,0.923729
8520,1.285605,0.683998
8530,1.156992,0.641579
8540,1.294152,0.737219
8550,1.125939,0.522366
8560,1.308061,0.799453
8570,1.316149,0.763022
8580,1.189517,0.647453
8590,1.202811,0.609888
8600,1.392830,0.633298
8610,1.275172,0.774820
8620,1.331052,0.691574
8630,1.314152,0.683226
8640,1.415895,0.520303
8650,1.351099,0.705287
8660,1.145522,0.548844
8670,1.202186,0.529372
8680,1.300438,0.764352
8690,1.359553,0.526162
8700,1.326459,0.538006
8710,1.248162,0.649965
8720,1.300193,0.757947
8730,1.322028,0.768765
8740,1.269498,0.960623
8750,1.334966,0.624350
8760,1.346220,0.705757
8770,1.291236,0.659164
8780,1.304622,0.469142
8790,1.335066,0.829973
8800,1.314753,0.699452
8810,1.316596,0.606375
8820,1.219047,0.629405
8830,1.330728,0.649504
8840,1.332490,0.664178
8850,1.283447,0.709462
8860,1.310141,0.763848
8870,1.270327,0.966062
8880,1.337434,0.724371
8890,1.312079,0.718066
8900,1.307008,0.684508
8910,1.234013,0.778511
8920,1.270501,0.763177
8930,1.406061,0.608353
8940,1.351084,0.755895
8950,1.366186,0.989310
8960,1.298774,0.715767
8970,1.276095,0.900956
8980,1.287091,0.934129
8990,1.312528,0.806699
9000,1.250375,0.632027
9010,1.638575,0.526833
9020,1.299759,0.739396
9030,1.571638,0.604642
9040,1.248815,0.562748
9050,1.224499,0.657902
9060,1.172563,0.632944
9070,1.309690,0.686636
9080,1.361404,0.806194
9090,1.168123,0.711257
9100,1.263303,0.572414
9110,1.301831,0.622701
9120,1.573489,0.607094
9130,1.231277,0.594163
9140,1.284745,0.895388
9150,1.255392,0.804050
9160,1.340537,0.574306
9170,1.272286,0.676384
9180,1.312494,0.720470
9190,1.341619,0.649633
9200,1.283748,1.212839
9210,1.369748,0.647081
9220,1.533013,0.577186
9230,1.264966,0.773696
9240,1.305346,1.020045
9250,1.160638,0.675845
9260,1.280632,0.559852
9270,1.297867,0.747158
9280,1.277445,0.776310
9290,1.366742,0.810431
9300,1.307004,0.556466
9310,1.299053,0.803844
9320,1.277852,0.870317
9330,1.252495,0.566749
9340,1.218441,0.894416
9350,1.230921,0.634199
9360,1.292414,0.784226
9370,1.304846,0.684225
9380,1.296684,1.131677
9390,1.237674,0.632813
9400,1.321129,0.796063
9410,1.355676,0.682012
9420,1.155191,0.549246
9430,1.240203,0.671495
9440,1.295034,0.803766
9450,1.307495,0.657339
9460,1.195141,0.643719
9470,1.391889,0.419203
9480,1.295667,0.758273
9490,1.320327,0.943610
9500,1.308922,0.846546
9510,1.349877,0.745160
9520,1.242716,0.716596
9530,1.302489,1.043880
9540,1.296928,0.583379
9550,1.231470,0.567425
9560,1.211904,0.691186
9570,1.372321,0.603819
9580,1.212159,0.478965
9590,1.301528,0.862549
9600,1.332267,0.741466
9610,1.289909,0.924986
9620,1.284878,0.701195
9630,1.257540,0.575217
9640,1.278896,0.752189
9650,1.307475,1.153349
9660,1.268384,0.801028
9670,1.336503,0.636801
9680,1.299571,0.558364
9690,1.219491,0.665283
9700,1.356004,0.628574
9710,1.340698,0.665586
9720,1.388512,0.699286
9730,1.144915,0.536017
9740,1.297443,0.725702
9750,1.282186,0.744402
9760,1.225558,0.644526
9770,1.137714,0.496575
9780,1.338624,0.724349
9790,1.342918,1.063749
9800,1.298682,0.352236
9810,1.330715,0.757104
9820,1.362525,0.751532
9830,1.276117,0.594836
9840,1.307263,0.738793
9850,1.324628,0.709175
9860,1.298115,0.684649
9870,1.305050,0.940602
9880,1.296142,0.816685
9890,1.353390,0.910051
9900,1.304528,0.567732
9910,1.281102,0.961999
9920,1.310294,0.809080
9930,1.249758,0.555108
9940,1.184524,0.598364
9950,1.267668,0.738134
9960,1.180550,0.637485
9970,1.340486,0.849067
9980,1.260816,0.830725
9990,1.303754,0.708333
10000,1.317202,0.741575
